27,02:02:15
44,02:02:59
27,02:03:26
44,02:04:10
27,02:04:37
44,02:05:21
61,02:06:22
44,02:07:06
27,02:07:33
10,02:07:43
10,02:07:53
10,02:08:03
27,02:08:30
44,02:09:14
27,02:09:41
44,02:10:25
27,02:10:52
44,02:11:36
27,02:12:03
44,02:12:47
61,02:13:48
78,02:15:06
61,02:16:07
78,02:17:25
61,02:18:26
78,02:19:44
61,02:20:45
44,02:21:29
61,02:22:30
78,02:23:48
95,02:25:23
78,02:26:41
61,02:27:42
78,02:29:00
95,02:30:35
112,02:32:27
95,02:34:02
112,02:35:54
129,02:38:03
146,02:40:29
163,02:43:12
146,02:45:38
163,02:48:21
146,02:50:47
163,02:53:30
146,02:55:56
163,02:58:39
180,03:01:39
163,03:04:22
146,03:06:48
163,03:09:31
146,03:11:57
129,03:14:06
146,03:16:32
163,03:19:15
180,03:22:15
180,03:25:15
180,03:28:15
163,03:30:58
146,03:33:24
129,03:35:33
112,03:37:25
95,03:39:00
78,03:40:18
95,03:41:53
112,03:43:45
95,03:45:20
78,03:46:38
61,03:47:39
78,03:48:57
95,03:50:32
112,03:52:24
129,03:54:33
112,03:56:25
95,03:58:00
78,03:59:18
95,04:00:53
112,04:02:45
129,04:04:54
112,04:06:46
129,04:08:55
146,04:11:21
163,04:14:04
180,04:17:04
180,04:20:04
163,04:22:47
146,04:25:13
129,04:27:22
112,04:29:14
129,04:31:23
112,04:33:15
95,04:34:50
78,04:36:08
61,04:37:09
78,04:38:27
61,04:39:28
44,04:40:12
27,04:40:39
44,04:41:23
27,04:41:50
44,04:42:34
61,04:43:35
78,04:44:53
95,04:46:28
78,04:47:46
61,04:48:47
44,04:49:31
61,04:50:32
78,04:51:50
61,04:52:51
78,04:54:09
61,04:55:10
44,04:55:54
27,04:56:21
10,04:56:31
27,04:56:58
44,04:57:42
27,04:58:09
44,04:58:53
27,04:59:20
44,05:00:04
61,05:01:05
78,05:02:23
95,05:03:58
78,05:05:16
95,05:06:51
78,05:08:09
95,05:09:44
112,05:11:36
129,05:13:45
146,05:16:11
163,05:18:54
180,05:21:54
180,05:24:54
163,05:27:37
146,05:30:03
163,05:32:46
180,05:35:46
180,05:38:46
163,05:41:29
146,05:43:55
129,05:46:04
112,05:47:56
129,05:50:05
146,05:52:31
129,05:54:40
112,05:56:32
95,05:58:07
78,05:59:25
61,06:00:26
78,06:01:44
95,06:03:19
78,06:04:37
95,06:06:12
112,06:08:04
95,06:09:39
112,06:11:31
129,06:13:40
146,06:16:06
163,06:18:49
180,06:21:49
180,06:24:49
163,06:27:32
146,06:29:58
129,06:32:07
112,06:33:59
95,06:35:34
78,06:36:52
95,06:38:27
78,06:39:45
95,06:41:20
112,06:43:12
129,06:45:21
146,06:47:47
129,06:49:56
112,06:51:48
129,06:53:57
112,06:55:49
95,06:57:24
78,06:58:42
61,06:59:43
44,07:00:27
27,07:00:54
44,07:01:38
27,07:02:05
10,07:02:15
27,07:02:42
10,07:02:52
10,07:03:02
10,07:03:12
27,07:03:39
10,07:03:49
10,07:03:59
10,07:04:09
10,07:04:19
10,07:04:29
10,07:04:39
10,07:04:49
10,07:04:59
10,07:05:09
27,07:05:36
44,07:06:20
27,07:06:47
10,07:06:57
10,07:07:07
27,07:07:34
10,07:07:44
27,07:08:11
44,07:08:55
27,07:09:22
10,07:09:32
27,07:09:59
44,07:10:43
27,07:11:10
10,07:11:20
27,07:11:47
10,07:11:57
10,07:12:07
10,07:12:17
10,07:12:27
27,07:12:54
10,07:13:04
10,07:13:14
27,07:13:41
10,07:13:51
27,07:14:18
10,07:14:28
10,07:14:38
10,07:14:48
27,07:15:15
10,07:15:25
10,07:15:35
27,07:16:02
44,07:16:46
61,07:17:47
44,07:18:31
27,07:18:58
10,07:19:08
10,07:19:18
10,07:19:28
27,07:19:55
44,07:20:39
27,07:21:06
10,07:21:16
27,07:21:43
44,07:22:27
61,07:23:28
44,07:24:12
61,07:25:13
44,07:25:57
61,07:26:58
78,07:28:16
61,07:29:17
78,07:30:35
95,07:32:10
78,07:33:28
95,07:35:03
78,07:36:21
95,07:37:56
112,07:39:48
129,07:41:57
146,07:44:23
129,07:46:32
146,07:48:58
163,07:51:41
146,07:54:07
129,07:56:16
146,07:58:42
163,08:01:25
146,08:03:51
163,08:06:34
146,08:09:00
129,08:11:09
146,08:13:35
163,08:16:18
180,08:19:18
180,08:22:18
163,08:25:01
180,08:28:01
180,08:31:01
180,08:34:01
163,08:36:44
146,08:39:10
129,08:41:19
112,08:43:11
129,08:45:20
112,08:47:12
129,08:49:21
112,08:51:13
95,08:52:48
78,08:54:06
95,08:55:41
112,08:57:33
129,08:59:42
146,09:02:08
163,09:04:51
180,09:07:51
180,09:10:51
163,09:13:34
180,09:16:34
180,09:19:34
180,09:22:34
180,09:25:34
180,09:28:34
180,09:31:34
180,09:34:34
163,09:37:17
146,09:39:43
129,09:41:52
146,09:44:18
163,09:47:01
180,09:50:01
180,09:53:01
180,09:56:01
180,09:59:01
163,10:01:44
146,10:04:10
129,10:06:19
146,10:08:45
163,10:11:28
180,10:14:28
163,10:17:11
146,10:19:37
129,10:21:46
146,10:24:12
129,10:26:21
112,10:28:13
95,10:29:48
78,10:31:06
95,10:32:41
