635521395369858218,12
635521395509858218,14
635521395689858218,18
635521395949858218,26
635521396369858218,42
635521396629858218,26
635521396809858218,18
635521396949858218,14
635521397069858218,12
635521397209858218,14
635521397389858218,18
635521397529858218,14
635521397649858218,12
635521397789858218,14
635521397909858218,12
635521398049858218,14
635521398169858218,12
635521398269858218,10
635521398389858218,12
635521398489858218,10
635521398609858218,12
635521398749858218,14
635521398929858218,18
635521399069858218,14
635521399249858218,18
635521399389858218,14
635521399509858218,12
635521399649858218,14
635521399829858218,18
635521400089858218,26
635521400509858218,42
635521400769858218,26
635521400949858218,18
635521401209858218,26
635521401629858218,42
635521402369858218,74
635521403749858218,138
635521404489858218,74
635521404909858218,42
635521405649858218,74
635521406069858218,42
635521406809858218,74
635521408189858218,138
635521408929858218,74
635521409349858218,42
635521410089858218,74
635521411469858218,138
635521413269858218,180
635521415069858218,180
635521416449858218,138
